city,price,lat,long,guests,pets_allowed,property_id,is_supperhost,host_number_of_reviews,host_rating,hosts_year,host_response_rate,is_guest_favorite,property_number_of_reviews,seller_id,state,country,num_images,cancellation_type,log_price,bedrooms,beds,bathrooms,property_type,has_ac,has_wifi,has_pool,has_kitchen,has_parking,amenities_count,poi_restaurants,poi_cafes,poi_transit,poi_bus_stops,poi_supermarkets,poi_total,data_source_type,walk_score,booking_hotel_count,booking_avg_rating,booking_total_reviews,booking_data_source,beds_per_bedroom,guests_per_bedroom,bathrooms_per_bedroom,host_quality_score,reviews_per_year,amenities_per_guest,premium_amenity_score,tourism_density,local_hotel_competition_quality,foodie_score,transport_score,cancellation_type_indexed,property_type_indexed,data_source_type_indexed,features,prediction,review_total,review_positive,review_negative,review_sentiment,rating_cleanliness,rating_communication,rating_checkin,rating_location,rating_value,review_advantages,review_disadvantages,review_suggestions
Paris,403.33,48.83352,2.34988,4,0,981074066947579180,0,2,5.0,2,100,0,2,176815192,Ile-de-France,France,7,No refund,6.002231376218875,1,1,1.0,entire_place,0,0,0,1,1,25,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,74.0,10,8.1,4298,exact_grid,1,4.0,1.0,0.7,1.0,6.25,1,2.3978952727983707,67.76571550361987,60.04838709677419,16.096774193548384,1,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.83352,2.34988,4,0,0,2,5,2,100,0,2,7,1,1,1,0,0,0,1,1,25,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,74,10,8.1,4298,1,4,1,0.7,1,6.25,1,2.3978952727983707,67.76571550361987,60.04838709677419,16.096774193548384,1,0,0]}",620.0724849385595,2,2,0,1.0,,,,,,Beautiful Place (1x); Highly Recommend (1x); Will Return (1x),No issues identified,No issues identified - keep up the great work!
Paris,191.9,48.88267,2.36839,4,1,6857305,0,116,4.7,10,100,0,66,35265386,Ile-de-France,France,14,Full refund,5.262171919911683,1,1,1.0,entire_place,0,1,0,1,1,33,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,74.6,32,6.893750000000001,3772,exact_grid,1,4.0,1.0,0.676,6.6,8.25,1,3.49650756146648,56.77434480700398,60.04838709677419,16.096774193548384,0,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.88267,2.36839,4,1,0,116,4.7,10,100,0,66,14,1,1,1,0,1,0,1,1,33,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,74.6,32,6.893750000000001,3772,1,4,1,0.676,6.6,8.25,1,3.4965075614664802,56.77434480700398,60.04838709677419,16.096774193548384,0,0,0]}",510.23916890141504,24,23,1,0.898,4.6,4.9,4.8,4.7,4.6,Great Location (5x); Highly Recommend (5x); Very Comfortable (3x); Walkable (2x); Quiet Area (2x),Dirty General (1x); Dirty Bathroom (1x); Noise General (1x),"[Dirty General]: Use the Arrival guide to provide clear and simple checkout instructions. Consider whether checkout tasks like taking out the rubbish or gathering used towels is a five-star experience for guests. Making these chores part of your cleaning routine could lead to better reviews. || [Dirty Bathroom]: Bathroom basics. This means providing: Shampoo and/or 2-in-1 shampoo and conditioner Body soap Hand soap Access to full bathroom facilities, including a seated, flushable toilet, a bathtub or shower, a sink, and hot and cold running water || [Noise General]: Noise: Guests should respect designated quiet hours and should not disturb the surrounding community with a disruptive level of noise (loud music, shouting, slamming doors, etc.)."
Paris,189.46,48.87112901051115,2.351395562977885,4,0,16349315,1,82,4.88,10,100,1,79,12004186,Ile-de-France,France,78,Full refund,5.2494421987659,2,2,1.0,entire_place,0,1,0,1,1,31,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,74.1,134,7.227692307692307,9067,exact_grid,1,2.0,0.5,0.9904,7.9,7.75,1,4.90527477843843,65.86239683173171,60.04838709677419,16.096774193548384,0,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.87112901051115,2.351395562977885,4,0,1,82,4.88,10,100,1,79,78,2,2,1,0,1,0,1,1,31,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,74.1,134,7.227692307692307,9067,1,2,0.5,0.9904,7.9,7.75,1,4.90527477843843,65.86239683173171,60.04838709677419,16.096774193548384,0,0,0]}",415.03864732252976,24,24,0,0.999,4.7,5.0,4.9,4.9,4.8,Very Comfortable (5x); Responsive Host (5x); Walkable (4x); Quiet Area (3x); Spacious (2x),Overpriced (1x); Too Small (1x),"[Overpriced]: You can develop and evolve your Smart Pricing strategy over time. This includes adjusting minimum and maximum prices, as well as setting custom prices, promotions, and discounts for the dates you’ve chosen to override Smart Pricing. || [Too Small]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California."
Paris,287.06,48.8745,2.344,6,0,927955989840054947,0,10,4.9,2,88,0,10,523604549,Ile-de-France,France,32,Full refund,5.663168791770904,5,5,3.0,entire_place,0,1,0,1,0,43,134.0,23.0,12.0,8.0,0.0,177.0,exact_grid,70.9,122,7.6875,32889,exact_grid,1,1.2,0.6,0.6560000000000001,5.0,7.166666666666667,0,4.812184355372417,79.9571027824701,157.0,20.0,0,0,1,"{""vectorType"":""dense"",""length"":45,""values"":[48.8745,2.344,6,0,0,10,4.9,2,88,0,10,32,5,5,3,0,1,0,1,0,43,134,23,12,8,0,177,70.9,122,7.6875,32889,1,1.2,0.6,0.6560000000000001,5,7.166666666666667,0,4.812184355372417,79.9571027824701,157,20,0,0,1]}",438.65963490237544,10,9,1,0.839,4.6,5.0,4.8,5.0,4.8,Spacious (3x); Responsive Host (2x); Quiet Area (1x); Central (1x); Highly Recommend (1x),No issues identified,No issues identified - keep up the great work!
Paris,145.58,48.86883,2.34436,2,0,3689022,1,57,4.35,11,100,0,47,8462149,Ile-de-France,France,31,Full refund,4.987571354497704,1,1,1.0,entire_place,0,1,0,1,1,30,113.0,23.0,7.0,10.0,2.0,155.0,exact_grid,87.7,61,7.843749999999999,3812,exact_grid,1,2.0,1.0,0.948,4.2727272727272725,15.0,1,4.127134385045092,64.68090817263275,136.0,17.0,0,0,1,"{""vectorType"":""dense"",""length"":45,""values"":[48.86883,2.34436,2,0,1,57,4.35,11,100,0,47,31,1,1,1,0,1,0,1,1,30,113,23,7,10,2,155,87.7,61,7.843749999999999,3812,1,2,1,0.948,4.2727272727272725,15,1,4.127134385045092,64.68090817263275,136,17,0,0,1]}",212.06903152374272,24,23,1,0.922,4.2,4.8,4.7,4.9,4.4,Great Location (5x); Highly Recommend (4x); Very Comfortable (4x); Will Return (3x); Beautiful Place (2x),No issues identified,No issues identified - keep up the great work!
Paris,150.18,48.85447432574367,2.374501141841372,2,0,860144682682633827,0,9,4.89,2,100,1,9,36377252,Ile-de-France,France,20,Full refund,5.018471179864031,1,1,1.0,entire_place,0,1,0,1,0,11,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,75.4,77,7.2073170731707314,2549,exact_grid,1,2.0,1.0,0.6912,4.5,5.5,0,4.356708826689592,56.5331042091233,60.04838709677419,16.096774193548384,0,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.85447432574367,2.374501141841372,2,0,0,9,4.89,2,100,1,9,20,1,1,1,0,1,0,1,0,11,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,75.4,77,7.2073170731707314,2549,1,2,1,0.6912,4.5,5.5,0,4.356708826689592,56.5331042091233,60.04838709677419,16.096774193548384,0,0,0]}",299.2767947880115,9,9,0,1.0,5.0,5.0,5.0,4.8,4.9,Very Clean (2x); Great Location (1x); Great Host (1x); Will Return (1x); Highly Recommend (1x),No issues identified,No issues identified - keep up the great work!
Paris,287.06,48.8584,2.3275,2,0,988997751082860469,0,9,4.78,13,100,0,26,4424807,Ile-de-France,France,21,Full refund,5.663168791770904,1,1,1.0,entire_place,1,1,0,1,0,29,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,75.7,22,7.885714285714286,3564,exact_grid,1,2.0,1.0,0.6824000000000001,2.0,14.5,1,3.1354942159291497,64.49662102474736,60.04838709677419,16.096774193548384,0,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.8584,2.3275,2,0,0,9,4.78,13,100,0,26,21,1,1,1,1,1,0,1,0,29,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,75.7,22,7.885714285714286,3564,1,2,1,0.6824000000000001,2,14.5,1,3.1354942159291497,64.49662102474736,60.04838709677419,16.096774193548384,0,0,0]}",508.5195261263922,23,21,2,0.827,5.0,4.8,4.9,5.0,4.7,Walkable (7x); Great Location (6x); Very Clean (4x); Highly Recommend (3x); Well Equipped (3x),No issues identified,No issues identified - keep up the great work!
Paris,400.73,48.86606965486517,2.36985907494796,3,0,22915152,1,75,4.88,6,100,0,75,93011789,Ile-de-France,France,14,Full refund,5.995780221175584,2,2,1.0,entire_place,0,1,0,1,0,47,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,74.6,73,7.822580645161288,11130,exact_grid,1,1.5,0.5,0.9904,12.5,15.666666666666666,0,4.304065093204169,72.88681136184215,60.04838709677419,16.096774193548384,0,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.86606965486517,2.36985907494796,3,0,1,75,4.88,6,100,0,75,14,2,2,1,0,1,0,1,0,47,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,74.6,73,7.822580645161288,11130,1,1.5,0.5,0.9904,12.5,15.666666666666666,0,4.304065093204169,72.88681136184215,60.04838709677419,16.096774193548384,0,0,0]}",401.9411166702572,24,22,2,0.837,4.8,4.9,4.6,4.9,4.6,Very Comfortable (6x); Well Equipped (4x); Responsive Host (4x); Great Location (4x); Walkable (4x),Too Small (1x); Dirty Kitchen (1x),"[Too Small]: Clean and declutter. Show guests exactly what they can expect. “It’s surprising how many people forget to clear their spaces of random objects before taking photos,” says Jeff, a photographer and Superhost in Joshua Tree, California. || [Dirty Kitchen]: All kitchen appliances, including the fridge, stove, and oven, are clean and ready for use. No leftover food is in the fridge."
Paris,222.18,48.86598737691619,2.378020783284543,2,0,770316567391783982,1,30,5.0,2,100,1,30,5770486,Ile-de-France,France,21,No refund,5.4079786207575555,1,1,1.0,entire_place,0,1,0,1,1,55,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,city_fallback,74.6,59,7.0625,673,exact_grid,1,2.0,1.0,1.0,15.0,27.5,1,4.0943445622221,45.999687658318166,60.04838709677419,16.096774193548384,1,0,0,"{""vectorType"":""dense"",""length"":45,""values"":[48.86598737691619,2.378020783284543,2,0,1,30,5,2,100,1,30,21,1,1,1,0,1,0,1,1,55,45.54838709677419,14.5,8.838709677419354,7.258064516129032,1.064516129032258,77.20967741935483,74.6,59,7.0625,673,1,2,1,1,15,27.5,1,4.0943445622221,45.999687658318166,60.04838709677419,16.096774193548384,1,0,0]}",117.57726850634408,24,23,1,0.917,5.0,5.0,5.0,5.0,5.0,Very Clean (9x); Responsive Host (5x); Very Comfortable (4x); Spacious (4x); Well Equipped (4x),Noise Street (1x),"[Noise Street]: Include a short, descriptive listing title. Check that your title offers a unique, accurate perspective of your home and surroundings. For example, “Quiet studio near Uffizi” conveys in a few words that the place is a peaceful, centrally located apartment in Florence, Italy."
Paris,395.85,48.8655,2.3471,3,0,1106997835821541848,1,122,4.75,5,100,0,1,257597858,Ile-de-France,France,20,Full refund,5.983558375536885,2,2,1.5,entire_place,1,1,0,1,1,41,120.0,42.0,9.0,4.0,5.0,180.0,exact_grid,98.3,293,7.439869281045751,8792,exact_grid,1,1.5,0.75,0.98,0.2,13.666666666666666,2,5.683579767338681,67.56674439478508,162.0,13.0,0,0,1,"{""vectorType"":""dense"",""length"":45,""values"":[48.8655,2.3471,3,0,1,122,4.75,5,100,0,1,20,2,2,1.5,1,1,0,1,1,41,120,42,9,4,5,180,98.3,293,7.439869281045751,8792,1,1.5,0.75,0.98,0.2,13.666666666666666,2,5.683579767338681,67.56674439478508,162,13,0,0,1]}",822.2349525353522,1,1,0,1.0,,,,,,No specific themes identified,No issues identified,No issues identified - keep up the great work!
